Date,005930.KS,0700.HK,7203.T,AAPL,AIR.PA,AMZN,ASML,BABA,GOOGL,GS,JNJ,JPM,KO,MC.PA,META,MSFT,NESN.SW,NVDA,OR.PA,PFE,PG,ROG.SW,SAN.PA,SAP,SIE.DE,TSLA,TSM,TTE.PA,V,XOM
2019-03-01,37291.44921875,320.2936096191406,1055.6475830078125,45.30385971069336,108.63162994384766,89.0374984741211,175.10606384277344,173.2718505859375,58.40322494506836,163.77357482910156,114.98365020751953,83.49366760253906,37.78466033935547,292.3424987792969,165.53369140625,110.56910705566406,78.30949401855469,4.456238746643066,216.50051879882812,29.017282485961914,87.22061157226562,217.3534698486328,59.80253601074219,103.32392883300781,71.23573303222656,18.657333374023438,35.03498458862305,32.03824996948242,148.70472717285156,58.61677551269531
2019-04-01,38594.94140625,344.2490539550781,1144.0416259765625,47.86063003540039,112.29875183105469,96.32599639892578,194.44644165039062,176.2349090576172,59.498451232910156,175.65631103515625,116.1434555053711,95.71705627441406,39.903934478759766,311.1988525390625,192.05841064453125,122.43787384033203,80.84065246582031,4.491976261138916,221.28553771972656,27.74643898010254,89.257568359375,220.5325927734375,58.85316848754883,115.3154525756836,79.25477600097656,15.912667274475098,37.48128128051758,32.45175552368164,156.5498504638672,58.239540100097656
2019-05-01,35775.02734375,289.2402038574219,1057.720703125,41.754920959472656,107.32373809814453,88.75350189208984,177.15586853027344,141.75146484375,54.91011428833008,155.66978454589844,107.87687683105469,88.06363677978516,39.96085739135742,305.3625793457031,176.2389373779297,115.95035552978516,84.23778533935547,3.3617851734161377,220.52609252929688,28.368188858032227,86.87398529052734,216.01686096191406,54.86582946777344,110.14298248291016,75.31949615478516,12.343999862670898,32.80253601074219,30.548999786376953,153.59841918945312,51.34046173095703
2019-06-01,39562.96875,313.7717590332031,1108.088134765625,47.38651657104492,116.4994125366211,94.68150329589844,195.88414001464844,160.9258270263672,53.73400115966797,175.3169708251953,115.34809875488281,92.91727447509766,41.41680145263672,337.55816650390625,191.66119384765625,126.0527572631836,85.51551818847656,4.080438137054443,229.7911376953125,29.86054039001465,92.563720703125,225.49993896484375,60.082908630371094,124.08888244628906,77.66580963134766,14.897333145141602,33.503910064697266,32.27492141723633,165.4868621826172,56.22884750366211
2019-07-01,38472.07421875,327.6539001464844,1163.7576904296875,51.00659942626953,119.65763854980469,93.33899688720703,209.90213012695312,164.40170288085938,60.45323181152344,188.6242218017578,107.84478759765625,96.40792083740234,43.141841888427734,338.4599914550781,192.88265991210938,128.2264404296875,89.44181060791016,4.191995620727539,221.99383544921875,26.7724666595459,99.64634704589844,218.9315643310547,59.72673797607422,111.59837341308594,73.50035858154297,16.107332229614258,37.648990631103516,31.221847534179688,169.73016357421875,54.563194274902344
2019-08-01,37326.81640625,289.0331115722656,1153.1541748046875,49.97706985473633,117.11610412597656,88.81449890136719,209.71371459960938,166.22511291503906,59.080108642578125,174.7257080078125,106.30439758300781,91.95134735107422,45.11736297607422,326.8263244628906,184.38201904296875,129.72254943847656,93.92660522460938,4.161932945251465,228.0482177734375,24.504667282104492,102.15234375,222.17469787597656,61.83212661743164,108.07888793945312,67.5306396484375,15.040666580200195,37.648990631103516,30.129899978637695,172.41915893554688,50.24861145019531
2019-09-01,41610.91796875,293.83843994140625,1195.5689697265625,53.82722091674805,111.37896728515625,86.79550170898438,234.0285186767578,158.81748962402344,60.59912872314453,178.68495178222656,107.95204162597656,98.50495910644531,44.62553024291992,328.85546875,176.84469604492188,131.25912475585938,91.62499237060547,4.329202651977539,235.6620330810547,24.998306274414062,105.67838287353516,238.47244262695312,67.32514953613281,106.91781616210938,72.950927734375,16.058000564575195,41.049163818359375,31.78607940673828,164.25509643554688,52.45577621459961
2019-10-01,43066.0390625,285.4735412597656,1266.6383056640625,59.78504943847656,119.9940185546875,88.83300018310547,246.79356384277344,167.78262329101562,62.468013763427734,183.9878387451172,110.17150115966797,104.55635833740234,44.943546295166016,344.9532165527344,190.32054138183594,135.3565673828125,89.12026977539062,4.999462127685547,240.15695190429688,26.695938110351562,105.788818359375,243.6860809326172,65.39389038085938,120.26100158691406,76.75995635986328,20.994667053222656,45.925758361816406,31.730236053466797,170.79632568359375,50.19737243652344
2019-11-01,42980.58984375,295.26226806640625,1282.7611083984375,64.22879791259766,124.64726257324219,90.04000091552734,254.94239807128906,189.9390106201172,64.71552276611328,190.86000061035156,114.71887969970703,111.16477966308594,44.09305191040039,367.3187561035156,200.2412567138672,142.91883850097656,87.93560791015625,5.390426158905029,237.31326293945312,26.800304412841797,104.36966705322266,253.0459747314453,66.88981628417969,123.31787109375,86.96195220947266,21.996000289916992,47.22444152832031,32.070186614990234,176.1915740966797,50.61338806152344
2019-12-01,47680.25,334.2389831542969,1295.52490234375,70.78543853759766,121.91886138916016,92.39199829101562,280.0061950683594,201.43032836914062,66.46728515625,199.3759765625,122.55419921875,117.61056518554688,46.044578552246094,373.54150390625,203.8262176513672,149.3922119140625,88.66331481933594,5.8563408851623535,242.17510986328125,27.522947311401367,106.79805755615234,257.80804443359375,70.93441009521484,121.53999328613281,86.53129577636719,27.8886661529541,51.6809196472168,33.12033462524414,179.72927856445312,52.4643440246582
